plant_name,unit_name,plant_unit_name,owner,parent_company,capacity_mw,status,start_year,retired_year,region,country_area,subnational_unit,latitude,longitude,technology,fuel_type,announced_year,construction_start,operating_year,mothballed_year,cancelled_year,wiki_url
,,,Sunset Power International Pty Ltd [100%],Engiana Establishment [100.0%],660.0,operating,,,Oceania,Australia,,33.161012,151.545252,,,,,,,,https://www.gem.wiki/Vales_Point_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],500.0,retired,,,Oceania,Australia,,33.402337,150.083722,,,,,,,,https://www.gem.wiki/Wallerawang_power_station
,,,GE Power; Stanwell Corp Ltd,GE Power; Stanwell Corp Ltd,400.0,cancelled,,,Oceania,Australia,,26.133333,149.95,,,,,,,,https://www.gem.wiki/Wandoan_Power_Project
,,,South32 Worsley Alumina Pty Ltd [100%],South32 Ltd [100.0%],34.0,retired,,,Oceania,Australia,,33.23519,116.068694,,,,,,,,https://www.gem.wiki/Worsley_Refinery_power_station
,,,South32 Worsley Alumina Pty Ltd [100%],South32 Ltd [100.0%],34.0,operating,,,Oceania,Australia,,33.23519,116.068694,,,,,,,,https://www.gem.wiki/Worsley_Refinery_power_station
,,,South32 Worsley Alumina Pty Ltd [100%],South32 Ltd [100.0%],57.0,operating,,,Oceania,Australia,,33.23519,116.068694,,,,,,,,https://www.gem.wiki/Worsley_Refinery_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],360.0,operating,,,Oceania,Australia,,38.177284,146.34421,,,,,,,,https://www.gem.wiki/Yallourn_W_power_station
,,,EnergyAustralia Pty Ltd [100%],CLP Holdings Ltd [100.0%],380.0,operating,,,Oceania,Australia,,38.177284,146.34421,,,,,,,,https://www.gem.wiki/Yallourn_W_power_station
,,,Stanwell Corp Ltd [100%],Stanwell Corp Ltd [100.0%],500.0,cancelled,,,Oceania,Australia,,23.509114,150.317801,,,,,,,,https://www.gem.wiki/ZeroGen
,,,Verbund Thermal Power GmbH & Co KG [100%],Verbund AG [100.0%],450.0,retired,,,Europe,Austria,,48.32611,15.923333,,,,,,,,https://www.gem.wiki/Duernrohr_power_station
,,,EVN AG [100%],EVN AG [100.0%],352.0,retired,,,Europe,Austria,,48.32611,15.923333,,,,,,,,https://www.gem.wiki/Duernrohr_power_station
,,,Energie AG Oberösterreich [100%],OÖ Landesholding GmbH [52.7%]; Raiffeisenlandesbank Oberösterreich AG [14.0%]; Linz AG [10.4%]; TIWAG-Tiroler Wasserkraft AG [8.3%]; Verbund AG [5.2%]; Oberbank AG [5.2%]; small shareholder(s) [4.3%],800.0,cancelled,,,Europe,Austria,,48.21309,14.475222,,,,,,,,https://www.gem.wiki/Enns_Power_Station
,,,Verbund Thermal Power GmbH & Co KG [100%],Verbund AG [100.0%],246.0,retired,,,Europe,Austria,,46.90819,15.49231,,,,,,,,https://www.gem.wiki/Mellach_power_station
,,,Energie AG Oberösterreich [100%],OÖ Landesholding GmbH [52.7%]; Raiffeisenlandesbank Oberösterreich AG [14.0%]; Linz AG [10.4%]; TIWAG-Tiroler Wasserkraft AG [8.3%]; Verbund AG [5.2%]; Oberbank AG [5.2%]; small shareholder(s) [4.3%],55.0,retired,,,Europe,Austria,,48.031769,12.843122,,,,,,,,https://www.gem.wiki/Riedersbach_power_station
,,,Energie AG Oberösterreich [100%],OÖ Landesholding GmbH [52.7%]; Raiffeisenlandesbank Oberösterreich AG [14.0%]; Linz AG [10.4%]; TIWAG-Tiroler Wasserkraft AG [8.3%]; Verbund AG [5.2%]; Oberbank AG [5.2%]; small shareholder(s) [4.3%],165.0,retired,,,Europe,Austria,,48.031769,12.843122,,,,,,,,https://www.gem.wiki/Riedersbach_power_station
,,,Verbund Austrian Hydropower AG [100%],Verbund AG,68.0,retired,,,Europe,Austria,,46.75,14.816667,,,,,,,,https://www.gem.wiki/St_Andrae_power_station
,,,Verbund Austrian Hydropower AG [100%],Verbund AG,124.0,retired,,,Europe,Austria,,46.75,14.816667,,,,,,,,https://www.gem.wiki/St_Andrae_power_station
,,,Energie AG Oberösterreich [100%],OÖ Landesholding GmbH [52.7%]; Raiffeisenlandesbank Oberösterreich AG [14.0%]; Linz AG [10.4%]; TIWAG-Tiroler Wasserkraft AG [8.3%]; Verbund AG [5.2%]; Oberbank AG [5.2%]; small shareholder(s) [4.3%],66.0,retired,,,Europe,Austria,,48.0122,13.5895,,,,,,,,https://www.gem.wiki/Timelkam_power_station
,,,Verbund AG [100%],Verbund AG [100.0%],330.0,retired,,,Europe,Austria,,47.0475,15.160278,,,,,,,,https://www.gem.wiki/Voitsberg_power_station
,,,Verbund AG [100%],Verbund AG [100.0%],137.0,retired,,,Europe,Austria,,47.25,15.166667,,,,,,,,https://www.gem.wiki/Zeltweg_power_station
,,,Power Construction Corporation of China Ltd [100%],Power Construction Corporation of China Ltd [100.0%],660.0,cancelled,,,Asia,Bangladesh,,22.025,91.955,,,,,,,,https://www.gem.wiki/Banshkhali_power_station_(Beximco)
,,,STG Development Group [10%]; SEPCOIII Electric Power Construction Co Ltd [20%]; S. Alam Cold Rolled Steels Ltd [70%],S. Alam Cold Rolled Steels Ltd [70.0%]; Power Construction Corporation of China Ltd [20.0%]; STG Development Group [10.0%],660.0,operating,,,Asia,Bangladesh,,21.970844,91.888932,,,,,,,,https://www.gem.wiki/Banshkhali_power_station_(S_Alam)
,,,STG Development Group [10%]; SEPCOIII Electric Power Construction Co Ltd [20%]; S. Alam Cold Rolled Steels Ltd [70%],S. Alam Cold Rolled Steels Ltd [70.0%]; Power Construction Corporation of China Ltd [20.0%]; STG Development Group [10.0%],660.0,operating,,,Asia,Bangladesh,,21.979067,91.888938,,,,,,,,https://www.gem.wiki/Banshkhali_power_station_(S_Alam)
,,,Bangladesh Power Development Board [100%],Bangladesh Power Development Board [100.0%],125.0,operating,,,Asia,Bangladesh,,25.5537569,88.9486312,,,,,,,,https://www.gem.wiki/Barapukuria_power_station
,,,Bangladesh Power Development Board [100%],Bangladesh Power Development Board [100.0%],275.0,operating,,,Asia,Bangladesh,,25.553438,88.95048,,,,,,,,https://www.gem.wiki/Barapukuria_power_station
,,,Barisal Electric Power Co Ltd [100%],Power Construction Corporation of China Ltd [96.0%],350.0,operating,,,Asia,Bangladesh,,21.961035,90.062712,,,,,,,,https://www.gem.wiki/Barisal_power_station
,,,Barisal Electric Power Co Ltd [100%],Power Construction Corporation of China Ltd [96.0%],350.0,pre-permit,,,Asia,Bangladesh,,21.961035,90.062712,,,,,,,,https://www.gem.wiki/Barisal_power_station
,,,LANCO Infratech Ltd; S. Alam Cold Rolled Steels Ltd,LANCO Infratech Ltd; S. Alam Cold Rolled Steels Ltd,217.0,cancelled,,,Asia,Bangladesh,,22.6903,90.6525,,,,,,,,https://www.gem.wiki/Bhola_power_station_(S_Alam)
,,,Power Construction Corporation of China Ltd [100%],Power Construction Corporation of China Ltd [100.0%],660.0,cancelled,,,Asia,Bangladesh,,21.55,91.95,,,,,,,,https://www.gem.wiki/Boalkhali_power_station_(Beximco)
,,,Orion Group [100%],Orion Group [100.0%],283.0,cancelled,,,Asia,Bangladesh,,22.3242,91.8622,,,,,,,,https://www.gem.wiki/Chittagong_power_station_(Orion)
,,,Coal Power Generation Company Bangladesh Ltd [100%],Coal Power Generation Company Bangladesh Ltd [100.0%],600.0,cancelled,,,Asia,Bangladesh,,21.623126,91.903689,,,,,,,,https://www.gem.wiki/CPGCBL-Sumitomo_power_station
,,,Power Construction Corporation of China Ltd; Meghna Group of Industries Ltd,Meghna Group of Industries Ltd; Power Construction Corporation of China Ltd,660.0,cancelled,,,Asia,Bangladesh,,23.533333,90.716667,,,,,,,,https://www.gem.wiki/Daudkandi_power_station
,,,North-West Power Generation Co Ltd [100%],North-West Power Generation Co Ltd [100.0%],1000.0,cancelled,,,Asia,Bangladesh,,25.416667,89.083333,,,,,,,,https://www.gem.wiki/Dighipara_power_station
,,,Ashuganj Power Station Co Ltd [100%],Ashuganj Power Station Co Ltd [100.0%],660.0,cancelled,,,Asia,Bangladesh,,25.297897,89.593989,,,,,,,,https://www.gem.wiki/Gaibandha_Ashuganj_power_station
,,,Rural Power Co Ltd [100%],Rural Power Co Ltd [100.0%],350.0,cancelled,,,Asia,Bangladesh,,23.524007,90.627202,,,,,,,,https://www.gem.wiki/Gazaria_power_station_(RPCL)
,,,Orion Power Khulna [100%],Orion Group,660.0,cancelled,,,Asia,Bangladesh,,22.571219,89.566212,,,,,,,,https://www.gem.wiki/Khulna_power_station_(Orion)
,,,B-R Powergen Ltd [100%],Bangladesh Power Development Board [50.0%]; Rural Power Co Ltd [50.0%],660.0,cancelled,,,Asia,Bangladesh,,21.623126,91.903689,,,,,,,,https://www.gem.wiki/Maheshkhali_power_station_(BPDB/RPCL)
,,,Bangladesh Power Development Board [100%],Bangladesh Power Development Board [100.0%],660.0,cancelled,,,Asia,Bangladesh,,21.629105,91.9002,,,,,,,,https://www.gem.wiki/Maheshkhali_power_station_(BPDB/TNB)
,,,Huadian Chittagong [100%],Bangladesh Power Development Board [50.0%]; China Huadian Group Corp [50.0%],660.0,cancelled,,,Asia,Bangladesh,,21.634145,91.898492,,,,,,,,https://www.gem.wiki/Maheshkhali_power_station_(Huadian)
,,,Korea Electric Power Corp [100%],Korea Electric Power Corp [100.0%],660.0,cancelled,,,Asia,Bangladesh,,21.632953,91.901935,,,,,,,,https://www.gem.wiki/Maheshkhali_power_station_(KEPCO)
,,,SEPCOIII Electric Power Construction Co Ltd; Bangladesh Power Development Board,Bangladesh Power Development Board; Power Construction Corporation of China Ltd,660.0,cancelled,,,Asia,Bangladesh,,21.623126,91.903689,,,,,,,,https://www.gem.wiki/Maheshkhali_power_station_(PowerChina)
,,,CPGCBL/Sembcorp JV [100%],Coal Power Generation Company Bangladesh Ltd; Sembcorp Industries Ltd,700.0,cancelled,,,Asia,Bangladesh,,21.706871,91.890997,,,,,,,,https://www.gem.wiki/Matarbari_Kohelia_power_station
